"CRTN_TM","FCST_TM","LEAD_TM","FCST_PROD_CD","FCST_QG01","FCST_QG02","FCST_QG03","FCST_QG04","FCST_QG05","FCST_QG06","FCST_QGEN","FCST_QGMX","FCST_QGMN","REG_DATE","UPD_DATE"
"202508010900","202508030000","03900","03",697.492802,,,,,,697.492802,697.492802,697.492802,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508030100","04000","03",647.798815,,,,,,647.798815,647.798815,647.798815,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508030200","04100","03",621.443112,,,,,,621.443112,621.443112,621.443112,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508030300","04200","03",634.265689,,,,,,634.265689,634.265689,634.265689,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508030400","04300","03",632.593845,,,,,,632.593845,632.593845,632.593845,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508030500","04400","03",638.822734,,,,,,638.822734,638.822734,638.822734,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508030600","04500","03",661.230643,,,,,,661.230643,661.230643,661.230643,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508030700","04600","03",690.978011,,,,,,690.978011,690.978011,690.978011,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508030800","04700","03",757.251797,,,,,,757.251797,757.251797,757.251797,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508010900","202508030900","04800","03",746.149258,,,,,,746.149258,746.149258,746.149258,2025-08-01 08:45:03.000,2025-08-01 08:45:03.000
"202508011500","202508011500","00000","03",938.973400,,,,,,938.973400,938.973400,938.973400,2025-08-01 14:45:03.000,2025-08-01 14:45:03.000
"202508011500","202508011600","00100","03",937.367913,,,,,,937.367913,937.367913,937.367913,2025-08-01 14:45:03.000,2025-08-01 14:45:03.000
"202508011500","202508011700","00200","03",1040.037391,,,,,,1040.037391,1040.037391,1040.037391,2025-08-01 14:45:03.000,2025-08-01 14:45:03.000
"202508011500","202508011800","00300","03",1045.444380,,,,,,1045.444380,1045.444380,1045.444380,2025-08-01 14:45:03.000,2025-08-01 14:45:03.000
"202508011500","202508011900","00400","03",1049.814615,,,,,,1049.814615,1049.814615,1049.814615,2025-08-01 14:45:03.000,2025-08-01 14:45:03.000
"202508011500","202508012000","00500","03",1002.660814,,,,,,1002.660814,1002.660814,1002.660814,2025-08-01 14:45:03.000,2025-08-01 14:45:03.000
"202508011500","202508012100","00600","03",975.323601,,,,,,975.323601,975.323601,975.323601,2025-08-01 14:45:03.000,2025-08-01 14:45:03.000
"202508011500","202508012200","00700","03",874.157210,,,,,,874.157210,874.157210,874.157210,2025-08-01 14:45:03.000,2025-08-01 14:45:03.000
"202508011500","202508012300","00800","03",870.264811,,,,,,870.264811,870.264811,870.264811,2025-08-01 14:45:03.000,2025-08-01 14:45:03.000
"202508011500","202508020000","00900","03",799.435883,,,,,,799.435883,799.435883,799.435883,2025-08-01 14:45:03.000,2025-08-01 14:45:03.000
"202508011500","202508020100","01000","03",706.814525,,,,,,706.814525,706.814525,706.814525,2025-08-01 14:45:03.000,2025-08-01 14:45:03.000
"202508011500","202508020200","01100","03",697.688693,,,,,,697.688693,697.688693,697.688693,2025-08-01 14:45:03.000,2025-08-01 14:45:03.000
"202508011500","202508020300","01200","03",603.398086,,,,,,603.398086,603.398086,603.398086,2025-08-01 14:45:03.000,2025-08-01 14:45:03.000
"202508011500","202508020400","01300","03",667.010604,,,,,,667.010604,667.010604,667.010604,2025-08-01 14:45:03.000,2025-08-01 14:45:03.000
"202508011500","202508020500","01400","03",699.038138,,,,,,699.038138,699.038138,699.038138,2025-08-01 14:45:03.000,2025-08-01 14:45:03.000
"202508011500","202508020600","01500","03",667.840547,,,,,,667.840547,667.840547,667.840547,2025-08-01 14:45:03.000,2025-08-01 14:45:03.000
"202508011500","202508020700","01600","03",686.073853,,,,,,686.073853,686.073853,686.073853,2025-08-01 14:45:03.000,2025-08-01 14:45:03.000
"202508011500","202508020800","01700","03",792.050911,,,,,,792.050911,792.050911,792.050911,2025-08-01 14:45:03.000,2025-08-01 14:45:03.000
"202508011500","202508020900","01800","03",787.961540,,,,,,787.961540,787.961540,787.961540,2025-08-01 14:45:03.000,2025-08-01 14:45:03.000
"202508011500","202508021000","01900","03",804.662635,,,,,,804.662635,804.662635,804.662635,2025-08-01 14:45:03.000,2025-08-01 14:45:03.000
"202508011500","202508021100","02000","03",804.759196,,,,,,804.759196,804.759196,804.759196,2025-08-01 14:45:03.000,2025-08-01 14:45:03.000
"202508011500","202508021200","02100","03",795.739332,,,,,,795.739332,795.739332,795.739332,2025-08-01 14:45:03.000,2025-08-01 14:45:03.000
"202508011500","202508021300","02200","03",813.453526,,,,,,813.453526,813.453526,813.453526,2025-08-01 14:45:03.000,2025-08-01 14:45:03.000
