"PWR_EXC_TP_CD","FUEL_TP_CD","CRTN_TM","FCST_TM","LEAD_TM","FCST_PROD_CD","FCST_QG01","FCST_QG02","FCST_QG03","FCST_QG04","FCST_QG05","FCST_QG06","FCST_QGEN","FCST_QGMX","FCST_QGMN","FCST_CAPA","ESS_CHRG","ESS_DISC","ESS_CAPA","REG_DATE","UPD_DATE"
"09","13","202508010300","202508020600","02700","03",9.257778,0.806146,0.232740,,0.179894,,9.257778,9.257778,0.179894,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508020600","02700","03",36.233573,25.343247,69.123169,,3.748489,,25.343247,69.123169,3.748489,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508020700","02800","03",23.968594,13.564784,28.427067,,21.093236,,23.968594,28.427067,13.564784,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508020700","02800","03",48.021337,25.123843,97.102608,,6.985256,,25.123843,97.102608,6.985256,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508020800","02900","03",56.340751,70.586847,62.517736,,73.773082,,56.340751,73.773082,56.340751,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508020800","02900","03",40.638932,48.309806,92.125416,,8.513135,,48.309806,92.125416,8.513135,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508020900","03000","03",150.228263,140.530996,170.201515,,145.295865,,150.228263,170.201515,140.530996,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508020900","03000","03",41.964605,42.088177,92.794743,,9.034570,,42.088177,92.794743,9.034570,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
"09","13","202508010300","202508021000","03100","03",207.782714,202.922990,263.213323,,217.957468,,207.782714,263.213323,202.922990,517.963000,,,,2025-08-01 02:50:42.000,2025-08-01 02:50:42.000
"09","16","202508010300","202508021000","03100","03",49.811046,69.559283,70.778377,,12.402810,,69.559283,70.778377,12.402810,421.970000,,,,2025-08-01 02:50:43.000,2025-08-01 02:50:43.000
